name,description,sku,barcode,category_id,location_id,location,min_stock,max_stock,purchase_price,sale_price,tax_rate,status
PANEL DE FRENO DELANTERO RUEDA RAYOS,,JA131605-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A01E09-C,5,,147,221,0,active
BOCINA PINON DE VELOCIMETRO MACERO RUEDA FRONTAL,,JA131606,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,9.8,15,0,active
BANDA DE BATERIA,,JA401801,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-W,5,,8.4,13,0,active
PERNO DE PLATO RESPIRADOR M8X1.25X196L,,JA511008,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E05-B,5,,16.1,24,0,active
PERNO DE PLATO RESPIRADOR M8X1.25X196L,,JA511008-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E15-A,5,,16.1,24,0,active
CONDUCTO DE RESPIRACION,,JA511011,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E05-B,5,,12.6,19,0,active
CONDUCTO DE RESPIRACION,,JA511011-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A01E09-B,5,,12.6,19,0,active
BUJE EJE DE LEVAS,,JA511211,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E15-A,5,,6.3,10,0,active
BUJE EJE DE LEVAS,,JA511211-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB3-B,5,,6.3,10,0,active
ESPACIADOR EJE DE LEVAS,,JA511216,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB1-C,5,,6.3,9,0,active
TEMPLADOR AUTOMATICO,,JA521017,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,VITRINAB1-C,5,,63,95,0,active
RESORTE EMBOLO DE ACEITE,,JA531012,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,2.8,4,0,active
PIN,,JA531015,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,VITRINAB2-C,5,,2.1,3,0,active
RODAMIENTO DE EMBRAGUE DE ARRANQUE,,JA541005,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,7.7,12,0,active
RODAMIENTO DE AGUJA PARA MOTOR,,JA541011,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB3-C,5,,15.4,23,0,active
EMPAQUE DE BOMBA DE ACEITE,,JA541016,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-B,5,,1.4,2,0,active
TAPA DE FILTRO DE ACEITE,,JA541021,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,24.5,37,0,active
EMPAQUE DE CUBIERTA MAGNETO,,JA541205,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB4-W,5,,9.1,14,0,active
EMPAQUE DE TAPA DE EMBRAGUE,,JA541212,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB4-W,5,,17.5,27,0,active
ORING TAPA DE ACEITE,,JA541225,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB4-B,5,,2.8,4,0,active
TAPA DE VISOR DE MAGNETO,,JA541233,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,9.8,15,0,active
RESORTE DE TORSION DE LEVA DE EMBRAGUE,,JA541237,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-B,5,,1.4,3,0,active
ARANDELA ESTRIADA ,,JA551002,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A02E09-B,5,,2.1,3,0,active
ARNADELA DE CAJA 1,,JA551004,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A02E09-B,5,,2.1,3,0,active
ARANDELA DE CAJA 2,,JA551008,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A02E09-B,5,,2.1,3,0,active
COLLAR DE PINON DE ARRASTRE,,JA551009,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A02E09-B,5,,18.2,27,0,active
COLLAR DE EMBRAGUE,,JA551406,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-A,5,,20.3,30,0,active
PLATO DE PRESION,,JA551414,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E01-B,5,,35.7,54,0,active
PORTADISCO DE EMBRAGUE,,JA551415,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E15-A,5,,55.3,83,0,active
PLATO DE EMBRAGUE,,JA551419,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB3-W,5,,14,21,0,active
AMARRILLA,,JA561207,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-A,5,,12.6,19,0,active
LEVA DE CAMBIOS,,JA561207-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-A,5,,12.6,19,0,active
RESORTE,,JA561208,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-A,5,,1.4,3,0,active
CARTUCHO DE FILTRO DE AIRE,,JA581005,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E08-D,5,,25.2,38,0,active
CARTUCHO DE FILTRO DE AIRE,,JA581005-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E12-D,5,,25.2,38,0,active
CARTUCHO DE FILTRO DE AIRE,,JA581005-2,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E13-C,5,,25.2,38,0,active
CARTUCHO DE FILTRO DE AIRE,,JA581005-3,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E15-W,5,,25.2,38,0,active
FILTRO DE AIRE ELEMENTO (GOMA ESPUMA),,JA581006,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A01E09-B,5,,20.3,31,0,active
FILTRO DE AIRE ELEMENTO (GOMA ESPUMA),,JA581006-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A01E09-D,5,,20.3,31,0,active
FILTRO DE AIRE ELEMENTO (GOMA ESPUMA),,JA581006-2,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-A,5,,20.3,31,0,active
MALLA METALICA PARA FILTRO DE AIRE,,JA581009,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E08-D,5,,13.3,20,0,active
AGUJA DE FLOTADOR,,JA581221,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-C,5,,30.1,45,0,active
MEZCLADOR COMPLETO,,JA581223,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-C,5,,25.2,38,0,active
EJE DE ARRANQUE,,JA621001,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-C,5,,51.1,76,0,active
TRINQUETE DE ARRANQUE,,JA621002,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-C,5,,48.3,72,0,active
ARANDELA DE TOPE,,JA621006,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-C,5,,2.8,4,0,active
PEDAL DE ARRANQUE,,JA621201,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-B,5,,174.3,261,0,active
PERNO PARA PEDAL DE ARRANQUE,,JA621206,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-C,5,,2.8,4,0,active
BENDIX DE ARRANQUE,,JA621406,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,03A01TE01-C,5,,97.3,146,0,active
ESTRUCTURA COMPLETA DE EMBRAGUE DE ARRANQUE,,JA621414,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E06-A,5,,183.4,275,0,active
PINON JAPAN 14T,,JAPAN14,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,13,25,0,active
PINON JAPAN 14T,,JAPAN14-1,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,14,25,0,active
PINON JAPAN 15T,,JAPAN15,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,15,25,0,active
PINON JAPAN 16T,,JAPAN16,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,16,25,0,active
PINON JAPAN 17T,,JAPAN17,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,16,25,0,active
ROSETA JAPAN 38T,,JAPAN38,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,39,55,0,active
ROSETA JAPAN 38T,,JAPAN38-1,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,39,60,0,active
ROSETA JAPAN 38T,,JAPAN38-2,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,54,70,0,active
ROSETA COMPLETA JAPAN 39T,,JAPAN39,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,54,70,0,active
ROSETA JAPAN 39T,,JAPAN39-1,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,54,70,0,active
ROSETA JAPAN 42T,,JAPAN42,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,50,70,0,active
